Euro area,EMU,"Population ages 15-64, female",SP.POP.1564.FE.IN,89319260,89650219,90067016,90540050,90991374,91412025,91712106,91939649,92160294,92425773,92619767,92923412,93406384,93924145,94450379,94998913,95507622,96007267,96629169,97378470,98326980,99357729,100450842,101538818,102469928,103193987,103686546,104018057,104279781,104610482,104992823,105252681,105631788,105967383,106195136,106403722,106641390,106876033,107091815,107355095,107686367,108039237,108426415,108819388,109232177,109647272,110003574,110441310,110847826,111031513,111048687,110971245,110345928,110263613,110241698
Euro area,EMU,"Population ages 15-64, male",SP.POP.1564.MA.IN,82283184,82923100,83689412,84536643,85364266,86143235,86679303,87137470,87586637,88092803,88565024,89086690,89804117,90584054,91402512,92271059,93042605,93838642,94772369,95827136,97056988,98223681,99415455,100593225,101655997,102586532,103260522,103855880,104432886,105077212,105733387,106132617,106625715,107053879,107363820,107655759,107871171,108077259,108269327,108528270,108880638,109188148,109561330,109960235,110377810,110779381,111015004,111340536,111633511,111705587,111630180,111406328,110638248,110461124,110397658
Europe & Central Asia (all income levels),ECS,"Population ages 15-64, female",SP.POP.1564.FE.IN,224401346,225536417,227056966,228853155,230741652,232611149,234206809,235890550,237618890,239397728,241005295,242833108,244893254,246861171,248789099,250697260,252305713,253930644,255717786,257711114,260035837,262594127,265226818,267854446,270343038,272498181,274083162,275426244,276631399,277860892,278937867,279581740,280474074,281446905,282271121,283238270,284502616,285994246,287547446,289174145,290626460,291815989,292980390,294313839,295815074,297466616,298970016,300616434,302340886,303874438,305551382,305543793,305353200,305574164,305687239
Europe & Central Asia (all income levels),ECS,"Population ages 15-64, male",SP.POP.1564.MA.IN,199002612,200825689,203114801,205742873,208496412,211239823,213511937,215883009,218319832,220844768,223272331,225764534,228506088,231218144,233967769,236777872,239124539,241583061,244241937,247057456,250097916,252983673,255809770,258592199,261349763,263991231,266037710,268054447,270051761,272040847,273755592,274586765,275584522,276607607,277456200,278430447,279432451,280602820,281831912,283215863,284555362,285562548,286688808,288086679,289669837,291356117,292637359,294050930,295542126,296880791,298504817,298220436,297848623,297980144,298124480
Europe & Central Asia (developing only),ECA,"Population ages 15-64, female",SP.POP.1564.FE.IN,50251407,50775713,51286480,51819313,52409702,53068346,53800975,54661047,55578569,56509510,57393850,58335244,59309141,60200699,61084315,61971998,62769839,63567291,64378382,65224535,66149903,67171296,68202377,69257195,70291301,71266736,72133754,72975697,73789975,74591763,75222775,75689460,76200773,76753958,77203667,77607518,78182873,78830259,79534262,80265378,81029151,81535179,82027872,82689881,83430804,84236697,85026995,85716295,86464140,87373021,88860916,89045120,89702018,90342200,90902185
Europe & Central Asia (developing only),ECA,"Population ages 15-64, male",SP.POP.1564.MA.IN,44152141,44745091,45324213,45930847,46609701,47375654,48167169,49100751,50106159,51137039,52142666,53219599,54332944,55389158,56457750,57546036,58490261,59446057,60420847,61418403,62472109,63555801,64621265,65699737,66780891,67847295,68793903,69758437,70716421,71646648,72375026,72834448,73302076,73788558,74165984,74493748,74951882,75468709,76044768,76675254,77382466,77858289,78364666,79069232,79860235,80706324,81488174,82169534,82910846,83815304,85362537,85447316,86059859,86665883,87224319
European Union,EUU,"Population ages 15-64, female",SP.POP.1564.FE.IN,136704960,137249451,138003443,138882879,139751700,140522565,141150624,141737652,142266947,142808921,143251106,143705904,144436138,145210636,145979297,146749386,147443547,148053363,148755892,149643629,150853901,152168502,153630466,155141622,156469742,157504938,158203271,158638872,158954281,159297826,159729585,159901190,160333408,160895392,161325186,161725003,162074186,162504321,162880780,163370556,163751529,164195762,164649523,165235135,165865226,166505224,167053611,167582302,168092788,168386903,168410099,168173060,167375026,167077637,166787457
European Union,EUU,"Population ages 15-64, male",SP.POP.1564.MA.IN,127409288,128379113,129615829,131009109,132385176,133631209,134564926,135432596,136238690,137085594,137894396,138622626,139658192,140778571,141929038,143111177,144123045,145092417,146175824,147440778,149002212,150461674,152022472,153620701,155086874,156353667,157219147,157929735,158591188,159286880,160026701,160314990,160836570,161469415,161970228,162457515,162744992,163120678,163465508,163962945,164400087,164822517,165308807,165964559,166673276,167375167,167821078,168251792,168659729,168857167,168815479,168436832,167522637,167176572,166903797
Fragile and conflict affected situations,FCS,"Population ages 15-64, female",SP.POP.1564.FE.IN,32892786,33464439,34050804,34679691,35395783,36218284,36958475,37824940,38789102,39809326,40863481,41784267,42770318,43824450,44957799,46176247,47354770,48628948,49973413,51361877,52779213,54025122,55313460,56654570,58062020,59546890,60925695,62417945,64026421,65755454,68087220,69986964,72036888,74206132,76458010,78769501,80931290,83156775,85451561,87849969,90361975,92773605,95336567,98025714,100813420,103682855,106494060,109404694,112409740,115502009,119234745,121806271,125089031,128514305,132050141
Fragile and conflict affected situations,FCS,"Population ages 15-64, male",SP.POP.1564.MA.IN,32465023,33014696,33592447,34219747,34932170,35744821,36458881,37292577,38221172,39209797,40240064,41125444,42083212,43115258,44229909,45431648,46584227,47835618,49161986,50538848,51951798,53179576,54454204,55785198,57184166,58661511,60014759,61483600,63077257,64807159,67170191,69113283,71228356,73474341,75799672,78170530,80337125,82545971,84817497,87205936,89733580,92187061,94814662,97577382,100425984,103329467,106093634,108932238,111857371,114882807,118627377,121134381,124435100,127904957,131502934
Heavily indebted poor countries (HIPC),HPC,"Population ages 15-64, female",SP.POP.1564.FE.IN,44386036,45233122,46178953,47211975,48323393,49509162,50525490,51654083,52881488,54195388,55588941,56810288,58141179,59570214,61088874,62692363,64146656,65708749,67357676,69077643,70864957,72396615,74057984,75851371,77781515,79854034,81809280,83955689,86294314,88837669,91590662,94299147,97275139,100450770,103745594,107114925,110106524,113199186,116416312,119801051,123384269,126890865,130644954,134615698,138770111,143092082,147299059,151732198,156380713,161236787,166297251,171413380,176764744,182348250,188166013
Heavily indebted poor countries (HIPC),HPC,"Population ages 15-64, male",SP.POP.1564.MA.IN,43236971,44053899,44965453,45963926,47046331,48211658,49202422,50311965,51526974,52833649,54224295,55433379,56754018,58174570,59685123,61279189,62693476,64205498,65797768,67457933,69186187,70674036,72294624,74051420,75947782,77986721,79849908,81895104,84130401,86572835,89230764,91881245,94804634,97933216,101184811,104514311,107511723,110597423,113801988,117179440,120768231,124275373,128046549,132035270,136187342,140480353,144619650,148958989,153516395,158318435,163378342,168530562,173972353,179680750,185626713
High income,HIC,"Population ages 15-64, female",SP.POP.1564.FE.IN,291288783,294504053,297763529,301374435,305089172,308708950,311932169,315160243,318129199,321728108,324975132,328701606,332373784,335722445,339534112,343363791,346470822,349934312,353655840,357551751,361435426,365555533,369523833,373252892,376758769,380030664,382762874,385372184,387902605,390492995,393097849,395622821,397631891,400169926,402737165,406048366,409080272,412381800,415706969,418987263,422017170,425144972,428063079,430850241,433811661,436894650,439733657,442843310,446090085,448705713,450613018,451888744,452354222,453015428,453474538
High income,HIC,"Population ages 15-64, male",SP.POP.1564.MA.IN,270136668,273949116,277977258,282438186,286993166,291389508,295118682,298781368,302196976,306309715,310250529,314651967,319137133,323433727,328250052,333114727,336698444,340702678,345016587,349549075,354094854,358751057,363244661,367542763,371740962,375879916,379321405,382821177,386355598,389960207,393515485,396487337,398768333,401717482,404687426,408645137,411637574,414845280,418075370,421338584,424478668,427584453,430637971,433728713,437137009,440787945,444065411,447753544,451670204,454995340,457625676,459354113,460259031,461379504,462316225
High income: nonOECD,NOC,"Population ages 15-64, female",SP.POP.1564.FE.IN,59868551,60290414,60926193,61717070,62565620,63429681,64090594,64805335,65547172,66306309,67091811,68007928,68871465,69710641,70523133,71328848,71979657,72682559,73431246,74236115,75006064,75875827,76722513,77510362,78353529,79169864,79838504,80509070,81158432,81791023,82339813,82662174,82504416,83047273,83680695,84954082,86067516,87252857,88440497,89578535,90583514,91430537,92209084,92949998,93831936,94808958,95828922,97045970,98327741,99455040,100370630,101057116,101686479,102170428,102573561
High income: nonOECD,NOC,"Population ages 15-64, male",SP.POP.1564.MA.IN,49703964,50323333,51189913,52241719,53374916,54544144,55514510,56559176,57646545,58761078,59909819,61137887,62314331,63481978,64657479,65872255,66924489,68082090,69303507,70560082,71719506,72848129,73888023,74850657,75911485,77031988,78045134,79141265,80248883,81315769,82248054,82778011,82634842,83306718,84032791,85617224,86635727,87651439,88638472,89617635,90559756,91459367,92408823,93440793,94712769,96167833,97762449,99636933,101611854,103419304,104963543,106136128,107175298,108002147,108700246
High income: OECD,OEC,"Population ages 15-64, female",SP.POP.1564.FE.IN,231420232,234213639,236837336,239657365,242523552,245279269,247841575,250354908,252582027,255421799,257883321,260693678,263502319,266011804,269010979,272034943,274491165,277251753,280224594,283315636,286429362,289679706,292801320,295742530,298405240,300860800,302924370,304863114,306744173,308701972,310758036,312960647,315127475,317122653,319056470,321094284,323012756,325128943,327266472,329408728,331433656,333714435,335853995,337900243,339979725,342085692,343904735,345797340,347762344,349250673,350242388,350831628,350667743,350845000,350900977
High income: OECD,OEC,"Population ages 15-64, male",SP.POP.1564.MA.IN,220432704,223625783,226787345,230196467,233618250,236845364,239604172,242222192,244550431,247548637,250340710,253514080,256822802,259951749,263592573,267242472,269773955,272620588,275713080,278988993,282375348,285902928,289356638,292692106,295829477,298847928,301276271,303679912,306106715,308644438,311267431,313709326,316133491,318410764,320654635,323027913,325001847,327193841,329436898,331720949,333918912,336125086,338229148,340287920,342424240,344620112,346302962,348116611,350058350,351576036,352662133,353217985,353083733,353377357,353615979
Latin America & Caribbean (all income levels),LCN,"Population ages 15-64, female",SP.POP.1564.FE.IN,59607753,61025099,62466673,63966903,65586281,67354018,69036811,70921697,72961009,75079165,77240993,79464419,81717696,84029986,86451524,89001395,91523311,94167073,96913289,99722083,102573671,105383010,108257757,111183254,114158536,117181096,120202347,123277907,126402627,129577476,132796108,136026223,139301173,142623568,145987940,149384758,152742689,156106450,159469661,162827602,166168034,169384505,172591935,175785719,178965881,182140306,185356090,188591491,191830786,195045776,198211876,201409321,204483721,207460547,210372639
Latin America & Caribbean (all income levels),LCN,"Population ages 15-64, male",SP.POP.1564.MA.IN,59082510,60490671,61933026,63439407,65063617,66832797,68496529,70361316,72380875,74482032,76630855,78804578,81010366,83276208,85650047,88149363,90555320,93083009,95714932,98413257,101159382,103841940,106593580,109398449,112254529,115159959,118032496,120959642,123939932,126978380,130071465,133128515,136242259,139419042,142655669,145944169,149183919,152433057,155689414,158950792,162207097,165318095,168439201,171562456,174682623,177805124,180947618,184122801,187315398,190497221,193644311,196792335,199831278,202793037,205717886
Latin America & Caribbean (developing only),LAC,"Population ages 15-64, female",SP.POP.1564.FE.IN,47051479,48205986,49376866,50600057,51935923,53413021,54826233,56425655,58166409,59976311,61821080,63710383,65622224,67583888,69646655,71832309,73997778,76287969,78677413,81122695,83600114,86060688,88557120,91088156,93668329,96304759,98919613,101608489,104352955,107131535,109927330,112752788,115590255,118452096,121354855,124299331,127206635,130129929,133060745,135980872,138874961,141634511,144381777,147112757,149829855,152544639,155324242,158121221,160924119,163713072,166467821,169269536,171968478,174584573,177144452
Latin America & Caribbean (developing only),LAC,"Population ages 15-64, male",SP.POP.1564.MA.IN,46313473,47486952,48685243,49939859,51304474,52804962,54225708,55829272,57571600,59382439,61228347,63087065,64966128,66894560,68925183,71080496,73179858,75410659,77743252,80128679,82539916,84895509,87278676,89690878,92151689,94672724,97156178,99715632,102333765,104989630,107666914,110329107,113008913,115723888,118494604,121325054,124122832,126939039,129768273,132594496,135404211,138066371,140732722,143395167,146050325,148707282,151418133,154154096,156904313,159649392,162370017,165119756,167774557,170360200,172910095
Least developed countries: UN classification,LDC,"Population ages 15-64, female",SP.POP.1564.FE.IN,65886730,67094000,68426594,69884474,71476975,73207432,74740054,76452308,78304518,80257492,82292039,83997079,85809591,87734568,89779783,91956025,93993417,96215462,98598778,101128696,103795510,106125337,108678481,111434704,114371622,117481964,120416657,123601197,127022465,130682064,134579676,138359086,142418444,146719070,151219489,155896029,160241533,164803893,169575049,174547417,179711544,184663577,189842931,195211910,200743415,206429995,211910038,217617152,223549165,229710324,236111358,242671045,249491435,256565354,263881848
Least developed countries: UN classification,LDC,"Population ages 15-64, male",SP.POP.1564.MA.IN,65596056,66719617,67965841,69334748,70835504,72472602,73905208,75515156,77263272,79110669,81038859,82628058,84310432,86099973,88013259,90064826,91955139,94040510,96294805,98699824,101249673,103570034,106120684,108883841,111838741,114973753,117816486,120906418,124241274,127829594,131678527,135533619,139691135,144097982,148692239,153433529,157736093,162197765,166838285,171688445,176766799,181692788,186882217,192263000,197757165,203330046,208567571,213948512,219530414,225388652,231574253,238066288,244917738,252096919,259546404
Low & middle income,LMY,"Population ages 15-64, female",SP.POP.1564.FE.IN,584561080,589458183,597182002,608159754,620426611,634704406,648257301,663757936,681054606,699395548,718121522,735600444,753585230,772185719,791558422,811712234,831656439,852573960,874889455,898604170,923369304,948459637,974963342,1002124147,1029434280,1057222710,1083120306,1109990799,1137245799,1164569500,1192394875,1216986904,1242844741,1269721083,1297141249,1324858092,1354231326,1383383938,1412890908,1443648761,1475851268,1506527251,1538501664,1571527370,1604701869,1637499949,1668096148,1698484606,1728560810,1758050172,1787208844,1814033286,1840371679,1866295264,1891779173
Low & middle income,LMY,"Population ages 15-64, male",SP.POP.1564.MA.IN,604126161,608797264,616280929,627131390,639410087,654015024,668000541,684246967,702563795,722031526,741877413,760308486,779112511,798496132,818722162,839840621,860423189,882176909,905445371,930040396,955498134,981072848,1007848817,1035179207,1062770138,1091099004,1117339586,1144755924,1172672925,1200631874,1229021377,1253725360,1279695060,1306698208,1334281118,1362201038,1391479694,1420532450,1450022814,1480973686,1513675576,1544973982,1577804369,1611887509,1646236140,1680240598,1711492481,1742560107,1773383297,1803740997,1834006353,1861672377,1889174802,1916460970,1943470604
Low income,LIC,"Population ages 15-64, female",SP.POP.1564.FE.IN,43818314,44555461,45423749,46392140,47418086,48482049,49444557,50448519,51515109,52684096,53968971,55064327,56313253,57675654,59098777,60557541,61859201,63226828,64654466,66146706,67709778,69098517,70572037,72151879,73869690,75738626,77425561,79351089,81464609,83704835,86043123,88278655,90653844,93160485,95807547,98598524,101123240,103830700,106710792,109746573,112928282,115995887,119239753,122641854,126193562,129896899,133528124,137349050,141358469,145559630,149956701,154455439,159187366,164129428,169257151
Low income,LIC,"Population ages 15-64, male",SP.POP.1564.MA.IN,41914484,42608133,43422040,44331693,45304180,46324672,47233586,48190253,49217374,50353891,51612535,52681892,53907919,55247313,56641754,58061600,59284727,60552193,61866445,63243260,64699181,66035108,67466614,69014897,70707222,72551209,74145600,75969846,77984670,80137677,82407102,84685205,87122582,89699574,92408727,95241177,97764508,100424697,103232606,106202015,109346188,112435895,115730083,119185820,122758990,126435626,130009315,133722821,137609512,141715340,146066047,150559648,155346115,160385478,165623024
Lower middle income,LMC,"Population ages 15-64, female",SP.POP.1564.FE.IN,261157254,265255632,269570384,274186343,279395009,285241928,290762044,297050527,304009125,311441018,319198535,326587924,334505404,342856432,351690649,361023111,369825930,379269859,389285785,399790980,410705481,421070357,431959049,443253826,454966442,467107680,478553986,490633512,503236841,516255064,529994290,542815727,556094798,569836128,584015982,598727876,613194311,628260143,643823672,659723283,675742640,690676481,706027360,721703653,737624855,753728941,769481466,785382190,801433631,817601097,834489880,849850863,865619972,881756839,897923756
Lower middle income,LMC,"Population ages 15-64, male",SP.POP.1564.MA.IN,268888621,273148428,277527995,282176542,287499729,293584253,299361888,306019511,313429195,321331000,329555364,337394931,345731605,354510391,363809901,373663060,382931052,392902786,403482922,414537877,425962060,436740898,447982006,459613105,471728149,484383331,496260098,508893892,522122927,535751060,550052399,563243070,576791724,590773247,605260887,620392955,635124216,650581027,666647981,683129712,699794034,715188535,731004840,747187402,763700829,780493577,796757744,813244848,829933149,846749202,864343677,880270418,896678651,913472767,930369250
Middle East & North Africa (all income levels),MEA,"Population ages 15-64, female",SP.POP.1564.FE.IN,27992890,28530557,29112905,29737768,30441288,31231037,31973966,32841971,33775833,34760958,35783376,36732756,37733710,38809789,39941829,41136217,42318960,43567523,44893037,46315651,47832353,49388724,51060273,52814602,54600625,56449165,58180813,59966074,61794980,63646372,66074260,68098321,69545256,71630834,73874856,76670574,79313015,82072805,84906917,87807071,90741875,93651604,96613242,99634362,102706675,105800725,108820900,111847692,114824903,117706456,120425038,122941469,125355374,127679222,129940865
Middle East & North Africa (all income levels),MEA,"Population ages 15-64, male",SP.POP.1564.MA.IN,28410585,28961935,29566137,30219329,30953931,31775770,32544989,33444131,34415946,35447335,36525023,37537013,38609519,39770990,41008978,42333274,43716564,45183603,46732715,48368047,50076522,51736950,53485370,55306244,57167209,59109465,60984286,62935040,64941069,66973080,69594225,71839197,73330430,75588641,77981529,81160095,83861948,86648029,89503091,92467287,95551665,98823832,102231618,105774267,109425401,113138631,116783615,120480420,124134142,127653314,130941385,133899088,136696686,139346673,141879703
Middle East & North Africa (developing only),MNA,"Population ages 15-64, female",SP.POP.1564.FE.IN,25937360,26411578,26913403,27458745,28075234,28776497,29437942,30203788,31047862,31934597,32847361,33678649,34561184,35497122,36490651,37544444,38590846,39692224,40862009,42114521,43451339,44788624,46228685,47743280,49289682,50886730,52400497,53969050,55590475,57249663,59480150,61267625,63071644,64925890,66920050,69020802,71320477,73718639,76190304,78729164,81306176,83853053,86446644,89086263,91755012,94418803,96912904,99390598,101809055,104122184,106302904,108324992,110262876,112136073,113974588
Middle East & North Africa (developing only),MNA,"Population ages 15-64, male",SP.POP.1564.MA.IN,26251272,26727988,27233859,27786423,28413327,29128454,29802192,30586343,31454457,32368644,33310212,34158150,35055980,36009608,37028247,38117256,39221743,40385398,41615386,42917068,44286150,45572778,46940320,48375408,49849649,51389776,52887892,54447404,56067723,57733642,59989452,61843196,63715210,65639545,67694896,69839349,72151254,74544339,77011923,79574315,82220316,84927860,87709552,90539315,93358108,96100831,98496178,100815463,103048838,105191498,107244627,109166216,111048677,112905514,114751671
Middle income,MIC,"Population ages 15-64, female",SP.POP.1564.FE.IN,540742766,544902722,551758253,561767614,573008525,586222357,598812744,613309417,629539497,646711452,664152551,680536117,697271977,714510065,732459645,751154693,769797238,789347132,810234989,832457464,855659526,879361120,904391305,929972268,955564590,981484084,1005694745,1030639710,1055781190,1080864665,1106351752,1128708249,1152190897,1176560598,1201333702,1226259568,1253108086,1279553238,1306180116,1333902188,1362922986,1390531364,1419261911,1448885516,1478508307,1507603050,1534568024,1561135556,1587202341,1612490542,1637252143,1659577847,1681184313,1702165836,1722522022
Middle income,MIC,"Population ages 15-64, male",SP.POP.1564.MA.IN,562211677,566189131,572858889,582799697,594105907,607690352,620766955,636056714,653346421,671677635,690264878,707626594,725204592,743248819,762080408,781779021,801138462,821624716,843578926,866797136,890798953,915037740,940382203,966164310,992062916,1018547795,1043193986,1068786078,1094688255,1120494197,1146614275,1169040155,1192572478,1216998634,1241872391,1266959861,1293715186,1320107753,1346790208,1374771671,1404329388,1432538087,1462074286,1492701689,1523477150,1553804972,1581483166,1608837286,1635773785,1662025657,1687940306,1711112729,1733828687,1756075492,1777847580
North America,NAC,"Population ages 15-64, female",SP.POP.1564.FE.IN,59870385,60696387,61604994,62593135,63661560,64742560,65867542,67052129,68234283,69411115,70716249,72202049,73521251,74751416,75996251,77363180,78647209,80032219,81456196,82845661,84041281,85099944,86044950,86853153,87560026,88247655,88891951,89545421,90208691,90944148,91810304,92826280,93897589,94957113,96025195,97167146,98328492,99669522,101051867,102443817,103811950,105189966,106441959,107618023,108888871,110195291,111272076,112411033,113553644,114550415,115387743,116095673,116727776,117229195,117618028
North America,NAC,"Population ages 15-64, male",SP.POP.1564.MA.IN,59118379,59940636,60887017,61934820,63050785,64147806,65202933,66270937,67335014,68438887,69734669,71266433,72707598,74113689,75536583,77041383,78048597,79131950,80263062,81418339,82474498,83583516,84662500,85665072,86583790,87468691,88200657,88928067,89673552,90526972,91554386,92623021,93794887,94997446,96228960,97534732,98776413,100195847,101663572,103151701,104620298,105948631,107157963,108307973,109577342,110908224,111950538,113074483,114231368,115275345,116190119,116984904,117732056,118355530,118854833
OECD members,OED,"Population ages 15-64, female",SP.POP.1564.FE.IN,248634573,251816923,254807375,258002231,261300662,264569921,267654376,270769082,273661461,277197474,280365824,283861036,287361664,290574733,294303495,298089452,301257217,304792688,308586715,312522736,316499183,320708361,324787191,328702590,332385723,335917899,339069845,342145230,345199948,348342327,351577440,354951459,358292643,361457365,364549054,367727034,370736708,373927304,377125220,380320094,383391264,386674738,389809934,392850542,395929254,399049530,401980225,404996485,408111697,410791472,413013174,414752513,415726926,417021830,418169027
OECD members,OED,"Population ages 15-64, male",SP.POP.1564.MA.IN,237515350,241107424,244657061,248463717,252325872,256052765,259305274,262474872,265407122,269045023,272501492,276343563,280337094,284165393,288524325,292912832,296121210,299698846,303564153,307638304,311844999,316279246,320638915,324897384,329002642,333044228,336521609,340021274,343579460,347258422,351016553,354563284,358097545,361484779,364833322,368301503,371339328,374578110,377853491,381161294,384376486,387545048,390613025,393640493,396755227,399949668,402726904,405654933,408743448,411452952,413773100,415476541,416483398,417905116,419256835
Other small states,OSS,"Population ages 15-64, female",SP.POP.1564.FE.IN,1868602,1896429,1925216,1956527,1992462,2033951,2071840,2116169,2165060,2216076,2267837,2313342,2360502,2409612,2461642,2517056,2567731,2622401,2679423,2740702,2805378,2871028,2940547,3014118,3093814,3178567,3264257,3357568,3455307,3554444,3652628,3741782,3830272,3918338,4009821,4103638,4189630,4282331,4379639,4481660,4585023,4683649,4785626,4889951,4997608,5107288,5225934,5349308,5477159,5606532,5736709,5869231,5997174,6126253,6256423
Other small states,OSS,"Population ages 15-64, male",SP.POP.1564.MA.IN,1768333,1791497,1815642,1842393,1873676,1910390,1944109,1984142,2028766,2075506,2122924,2164798,2207759,2252574,2300506,2352170,2398595,2449298,2503259,2562489,2626144,2694256,2766600,2843664,2927498,3016957,3108245,3208319,3313736,3420806,3526559,3620640,3713310,3804863,3899275,3995483,4078689,4167613,4261236,4360929,4464295,4570495,4682641,4798596,4918026,5038622,5164669,5294675,5428565,5563715,5699905,5837695,5971086,6106043,6242508
Pacific island small states,PSS,"Population ages 15-64, female",SP.POP.1564.FE.IN,202769,209609,217022,224811,232802,240924,248539,256317,264367,272743,281453,289518,297710,306116,314827,323872,332129,340658,349513,358706,368201,377419,387071,396548,405310,413189,419966,425903,431588,437733,444771,453087,462190,472035,482383,492855,501327,510125,518915,527344,535409,546197,556250,566024,576064,586590,595543,605099,615128,625514,636120,644373,653374,662660,671740
